Food_ID,Name,Energy (kcal),Carbohydrates (g),Fat (g),Fiber (g),Protein (g),Sugar (g)
0,"GROUND BEEF, UPC: 011110979711",259,0,20.54,0,16.96,0
1,"Turkey, Ground, raw",72.36,7.66,19.66,0,148,0
2,"Veggie burgers or soyburgers, unprepared",61.21,6.3,15.7,14.27,177,4.9
3,"Pork, fresh, ground, raw",61.06,21.19,16.88,0,263,0
4,"Chicken, ground, raw",73.24,8.1,17.44,0.04,143,0
5,"Mushrooms, portabella, raw",92.82,0.35,2.11,3.87,22,1.3
6,"Tofu, salted and fermented (fuyu)",70.01,8,8.92,4.38,116,46
7,"TRADITIONAL SEITAN, UPC: 016741311336",124,4.42,1.77,0,24.78,0
8,"VEGAN BURGERS, UPC: 028989102195",142,15.04,7.96,5.3,7.96,2.65
9,"VEGAN CHIK 'N CUTLETS, UPC: 833735001802",111,9.52,1.59,4.8,15.87,0
10,"BEEF CHILI, UPC: 074136000012",197,6.14,14.04,1.8,12.28,1.75
11,"ORGANIC VEGETARIAN CHILI, UPC: 099482421106",98,14.29,2.04,4.1,5.31,1.22
12,"CHICKEN CHILI WITH BEANS, UPC: 733147108888",119,9.25,4.85,2.2,10.13,0.88
13,"VEGETABLES FOR MEATLOAF, UPC: 070560968867",36,7.14,0,2.4,1.19,3.57
14,Vegetarian meatloaf or patties,58,9,21,8,197,4.6
15,"HOMESTYLE MEATLOAF, UPC: 722515250984",212,9.73,11.5,0,15.93,4.42
16,"Frankfurter, meatless",58,13.73,19.61,7.7,233,3.9
17,"BEEF HOT DOG, UPC: 073608053501",295,3.85,25.64,0,14.1,1.28
18,"Frankfurter, turkey",62.99,17.29,12.23,3.81,223,0
19,"CHICKEN HOT DOGS, UPC: 011110001641",233,11.63,16.28,0,11.63,6.98
20,"WHOLE COW MILK, UPC: 837152002053",67,4.58,3.75,0,3.33,4.58
21,"ALMOND MILK, UPC: 744473909544",82,12.94,2.35,3.5,3.53,7.06
22,"Beverages, rice milk, unsweetened",89.28,0.97,0.28,9.17,47,0.3
23,"SOY MILK, UPC: 099482417055",33,1.67,1.67,0.4,2.92,0.42
24,"CHOCOLATE MILK, UPC: 041303048603",92,12.08,3.33,0,3.33,12.08
25,"TRADER JOE'S, ORGANIC CHOCOLATE SOY MILK, NON-DAIRY DRINK, 7 GRAMS SOY PROTEIN, EXCELLENT SOURCE OF CALCIUM, VITAMIN D, RIBOFLAVIN & VITAMIN A, CHOCOLATE, VANILLA, UPC: 00693752",54,7.08,1.25,0.4,2.92,5
26,"EGGLESS MAYO, UPC: 850551005753",571,0,71.43,0,0,0
27,"MAYO, UPC: 011110007803",333,6.67,33.33,0,0,0
28,"Pork, bacon, rendered fat, cooked",0.25,99.5,0.07,0,898,0
29,"Bacon, meatless",48.98,29.52,11.69,5.31,309,2.6
30,"FULLY COOKED BEEF BACON, UPC: 071014825606",333,0,30,0,13.33,633
31,"Bacon, turkey, microwaved",34.46,25.87,29.5,4.24,368,0
32,"VEGETABLE PIZZA, UPC: 663209132028",170,23.91,4.35,1.3,9.13,1.74
33,"Pizza, meat topping, thick crust, frozen, cooked",43.27,11.52,11.76,30.76,274,2.3
34,"VEGAN CHEESE PIZZA, UPC: 853407003019",188,25.89,8.04,2.7,2.68,0.89
35,"CAPRESE CIABATTA SANDWICH, UPC: 815712014241",233,20,12.36,1.8,10.18,1.82
